id,source_id,publisher_id,period_id,score,data,schema,summary,run_id,timestamp,report
db68372d5b8c41e1bd3d1976c2b7fc55,e9ee59d8-7598-4239-b233-404427a3a974,gb_cabinet-office,2013-08-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/263521/August__25k_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
b6df1f4e55f842d988feb395bc1fe896,38dfe05f-c3a2-4e9d-a9e1-1ba5de8086f4,gb_cabinet-office,2013-09-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/269100/September-2013-25k-Transparency-Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
5063030b9ccb4bad9aaabbc93d95dfbd,50b10a63-d9fa-4fb8-836a-83cc93f6e4d5,gb_cabinet-office,2013-10-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/299473/October__25k_Transparency_Data.csv ,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
1ad2bbae1cf949adba5a4ec5db9dfcda,ba7ba211-4e6a-4519-b2f6-7ff98c0a9f67,gb_cabinet-office,2013-11-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/299475/November_2013__25k_Transparency_Data.csv ,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
efd57b1bfdd943f18fa5f56606835e4f,ffe52151-8888-4035-9c82-ec5d33ac1eb0,gb_cabinet-office,2013-12-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/299476/December_2013__25k_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
38d403f67a79486a949e0b3863c38326,9fa0d87c-df96-4245-9ce4-c014fcbc2fad,gb_cabinet-office,2014-01-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/307659/January_2014_25k_transparency_data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
f41518938a5b48f59750682fef181026,62818a5b-ee53-4bb5-894f-e2334e18566d,gb_cabinet-office,2014-02-01,7,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/307660/February_2014_25k_transparency_data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
3bda56fce5a94d9a8399abee1c13ed5e,19d6cce5-4110-4351-8171-28587fda746e,gb_cabinet-office,2014-03-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/324568/March_2014__25k_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
f787d4ece3ba4b719b512cdf08a54160,dbabea77-1585-41c0-a371-4c39002105bb,gb_cabinet-office,2014-04-01,8,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/324569/April_2014__25k_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
bf5300cc9d9347a38fed0d24dba747a8,cbcc09ce-2796-43f1-935a-8d6b3b562ea6,gb_cabinet-office,2014-05-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/381024/May_2014_spend_of__25K_and_above.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
3ae5534251974917b6cf5572df4df46e,3e33b8b3-d661-4815-ac6c-d98273ef9aae,gb_cabinet-office,2014-06-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/381025/June_2014_spend_of_25K_and_above.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
f7224af92a664e169402d1cfeeb5b216,97c292c0-ca13-43d7-bb12-fd7a46276f7d,gb_cabinet-office,2014-07-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/381673/July_2014_spend_of_25K_and_above.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
